年,週番号,開始日,終了日,保健所,インフルエンザ,RSウイルス感染症,咽頭結膜熱,Ａ群溶血性レンサ球菌咽頭炎,感染性胃腸炎,水痘,手足口病,伝染性紅斑,突発性発しん,百日咳,ヘルパンギ｜ナ,流行性耳下腺炎,不明発しん症,川崎病,急性出血性結膜炎,流行性角結膜炎,細菌性髄膜炎*,無菌性髄膜炎,マイコプラズマ肺炎,クラミジア肺炎(オウム病は除く),感染性胃腸炎／ロタウイルス,インフルエンザ入院,新型コロナウイルス感染症／COVID|19,COVID|19入院,急性呼吸器感染症／ARI
2016,1,2016-01-04,2016-01-10,報告数/定点数,1.66,0.59,0.38,1.9,8.24,0.98,0.04,0.39,0.33,0.02,0.01,0.79,0.05,0.03,,0.59,,0.04,2.04,,,0.32,,,
2016,1,2016-01-04,2016-01-10,千代田,1.5,1.0,0.33,0.67,3.67,0.33,0.33,,,,,,,0.33,,,,,1.5,,,,,,
2016,1,2016-01-04,2016-01-10,中央区,2.6,,0.33,3.0,6.33,1.0,,0.33,0.67,,,,,,,2.0,,,,,,,,,
2016,1,2016-01-04,2016-01-10,みなと,2.22,0.5,1.67,1.33,6.67,1.17,0.17,0.17,0.33,,,1.17,,0.17,,,,,2.0,,,1.0,,,
2016,1,2016-01-04,2016-01-10,新宿区,2.0,1.13,0.38,1.13,4.75,0.25,,0.25,0.25,,,,,0.13,,1.0,,,4.0,,,,,,
2016,1,2016-01-04,2016-01-10,文京,1.43,0.25,0.5,0.75,7.5,1.0,0.25,0.25,,0.25,,0.25,,,,2.0,,,,,,,,,
2016,1,2016-01-04,2016-01-10,台東,0.29,,1.25,0.5,12.25,1.75,,,0.75,,,0.5,,,,,,,,,,,,,
2016,1,2016-01-04,2016-01-10,墨田区,1.75,,,1.2,5.0,0.8,,0.2,,,,1.6,,,,1.0,,,2.0,,,,,,
2016,1,2016-01-04,2016-01-10,江東区,2.43,0.89,,2.44,11.89,1.0,,0.22,0.22,,,1.78,,,,,,,,,,,,,
2016,1,2016-01-04,2016-01-10,品川区,1.33,,0.13,1.0,5.38,0.63,,0.13,0.25,,,0.25,,,,,,,,,,,,,
2016,1,2016-01-04,2016-01-10,目黒区,1.88,0.4,0.4,1.6,10.8,0.2,,0.2,0.4,,,,,,,,,,,,,,,,
2016,1,2016-01-04,2016-01-10,大田区,2.26,1.0,0.92,2.0,9.75,0.5,0.08,0.42,0.33,,0.08,0.08,,,,1.0,,,,,,,,,
2016,1,2016-01-04,2016-01-10,世田谷,1.72,0.5,0.88,2.63,9.31,0.75,0.13,0.31,0.13,,,0.19,,,,0.5,,0.5,0.5,,,3.0,,,
2016,1,2016-01-04,2016-01-10,渋谷区,1.71,,,0.25,10.75,2.75,,0.25,,,,,,,,1.0,,,3.0,,,,,,
2016,1,2016-01-04,2016-01-10,中野区,2.9,0.5,0.17,2.0,11.83,0.5,,1.0,0.33,,,0.17,,0.17,,1.0,,,,,,,,,
2016,1,2016-01-04,2016-01-10,杉並,0.94,0.2,0.4,0.9,5.6,0.5,,0.2,0.1,0.1,,0.2,,0.1,,1.0,,,,,,0.5,,,
2016,1,2016-01-04,2016-01-10,池袋,0.71,2.0,0.25,0.75,4.5,1.0,,,1.0,,,,,,,,,,6.0,,,,,,
2016,1,2016-01-04,2016-01-10,北区,1.1,0.43,0.14,1.29,6.43,0.14,,,0.14,,,0.57,,,,,,,,,,,,,
2016,1,2016-01-04,2016-01-10,荒川区,2.29,1.0,,2.5,2.75,2.5,,0.25,0.25,0.25,,1.25,,,,1.0,,,,,,,,,
2016,1,2016-01-04,2016-01-10,板橋区,1.25,,0.1,0.2,3.8,0.4,,0.1,0.2,,,0.2,0.1,,,1.0,,,,,,,,,
2016,1,2016-01-04,2016-01-10,練馬区,1.9,0.46,0.08,2.15,9.85,2.0,,,0.38,,,0.85,0.15,,,1.0,,,,,,,,,
2016,1,2016-01-04,2016-01-10,足立,1.55,0.69,0.15,1.92,8.62,0.54,,0.38,0.08,0.08,,0.92,,,,0.5,,,,,,,,,
2016,1,2016-01-04,2016-01-10,葛飾区,1.77,0.13,0.13,1.13,8.5,1.25,,0.88,0.25,,,0.38,,,,2.0,,,5.0,,,,,,
2016,1,2016-01-04,2016-01-10,江戸川,1.95,0.33,0.5,2.25,10.08,0.58,,0.75,0.33,0.08,,1.25,,0.17,,,,,,,,,,,
2016,1,2016-01-04,2016-01-10,八王子市,1.5,1.91,0.27,2.09,13.18,1.64,0.18,0.73,0.64,,,1.73,0.45,,,0.5,,,2.0,,,,,,
2016,1,2016-01-04,2016-01-10,町田市,1.85,,,3.88,10.88,1.13,,0.63,0.25,,,0.63,0.25,,,,,,,,,,,,
2016,1,2016-01-04,2016-01-10,西多摩,1.57,0.38,,1.63,7.63,0.5,,0.5,0.13,,,1.75,,,,,,,6.0,,,,,,
