年,週番号,開始日,終了日,保健所,インフルエンザ,新型コロナウイルス感染症／COVID-19,急性呼吸器感染症／ARI,RSウイルス感染症,咽頭結膜熱,Ａ群溶血性レンサ球菌咽頭炎,感染性胃腸炎,水痘,手足口病,伝染性紅斑,突発性発しん,ヘルパンギーナ,流行性耳下腺炎,不明発しん症,川崎病,急性出血性結膜炎,流行性角結膜炎,細菌性髄膜炎*,無菌性髄膜炎,マイコプラズマ肺炎,クラミジア肺炎(オウム病は除く),感染性胃腸炎／ロタウイルス,インフルエンザ入院,COVID-19入院
2026,5,2026-01-26,2026-02-01,千代田,46.0,10.0,152.0,,,1.0,29.0,,,,,,,,,,,,,,,,,2.0
2026,5,2026-01-26,2026-02-01,中央区,95.0,3.0,249.0,,,,68.0,,,,1.0,,,,,,,,,,,,,
2026,5,2026-01-26,2026-02-01,みなと,212.0,10.0,679.0,2.0,,11.0,76.0,,,,3.0,,,,,,,,,,,,1.0,3.0
2026,5,2026-01-26,2026-02-01,新宿区,171.0,2.0,464.0,5.0,,4.0,70.0,,,,2.0,,,1.0,,,1.0,,,,,,,3.0
2026,5,2026-01-26,2026-02-01,文京,188.0,10.0,696.0,2.0,1.0,2.0,61.0,,2.0,,,,,,,,,,,,,,,1.0
2026,5,2026-01-26,2026-02-01,台東,196.0,5.0,632.0,6.0,1.0,3.0,183.0,2.0,,1.0,,,,,,,,,,,,,,
2026,5,2026-01-26,2026-02-01,墨田区,138.0,27.0,301.0,1.0,,5.0,52.0,,,,1.0,,,,,,,,,,,,4.0,2.0
2026,5,2026-01-26,2026-02-01,江東区,462.0,28.0,1099.0,,2.0,24.0,190.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,
2026,5,2026-01-26,2026-02-01,品川区,228.0,5.0,610.0,1.0,,15.0,79.0,4.0,,,,,,,,,,,,,,,,
2026,5,2026-01-26,2026-02-01,目黒区,135.0,4.0,360.0,2.0,,2.0,41.0,1.0,1.0,,1.0,,,1.0,,,,,,,,,,
2026,5,2026-01-26,2026-02-01,大田区,435.0,32.0,1143.0,4.0,,35.0,208.0,1.0,,,2.0,,,1.0,,,,,,,,,1.0,3.0
2026,5,2026-01-26,2026-02-01,世田谷,754.0,39.0,2191.0,2.0,,13.0,220.0,1.0,1.0,1.0,5.0,,,,,,2.0,,,,,,3.0,1.0
2026,5,2026-01-26,2026-02-01,渋谷区,208.0,7.0,349.0,,,1.0,69.0,7.0,,,,,,,,,,,,,,1.0,3.0,
2026,5,2026-01-26,2026-02-01,中野区,436.0,14.0,1472.0,,,21.0,112.0,,,,3.0,,1.0,,,,,,,,,,,
2026,5,2026-01-26,2026-02-01,杉並,440.0,16.0,835.0,2.0,2.0,3.0,90.0,1.0,,,2.0,,,,1.0,,,,,,1.0,,3.0,2.0
2026,5,2026-01-26,2026-02-01,池袋,266.0,11.0,684.0,4.0,,6.0,55.0,,,,1.0,1.0,,,,,2.0,,,1.0,,,,
2026,5,2026-01-26,2026-02-01,北区,347.0,13.0,806.0,6.0,,13.0,102.0,,,,6.0,,,,,,,,,,,,,
2026,5,2026-01-26,2026-02-01,荒川区,164.0,13.0,615.0,,,4.0,99.0,1.0,,,2.0,,,1.0,1.0,,,,,,,,,
2026,5,2026-01-26,2026-02-01,板橋区,380.0,18.0,1068.0,,,9.0,148.0,,,,,1.0,,,,,1.0,,,,,,2.0,5.0
2026,5,2026-01-26,2026-02-01,練馬区,599.0,16.0,1715.0,3.0,7.0,29.0,212.0,4.0,,2.0,1.0,,,1.0,,,,,,,,,,
2026,5,2026-01-26,2026-02-01,足立,350.0,25.0,1626.0,6.0,20.0,26.0,149.0,3.0,,,6.0,,,1.0,,,,,,,,,,
2026,5,2026-01-26,2026-02-01,葛飾区,287.0,11.0,793.0,,,12.0,80.0,1.0,,1.0,,,1.0,,,1.0,,,,,,,3.0,
2026,5,2026-01-26,2026-02-01,江戸川,638.0,42.0,1780.0,4.0,5.0,47.0,201.0,1.0,,,3.0,,,1.0,,,1.0,,,,,,,
2026,5,2026-01-26,2026-02-01,八王子市,878.0,29.0,2949.0,4.0,4.0,47.0,190.0,8.0,,,6.0,,,,,,,,,,,,12.0,7.0
2026,5,2026-01-26,2026-02-01,町田市,667.0,38.0,2162.0,,,54.0,278.0,15.0,,,2.0,,2.0,2.0,,,,,,,,,,
2026,5,2026-01-26,2026-02-01,西多摩,152.0,17.0,413.0,,,15.0,62.0,7.0,,,2.0,,,,,,,,,1.0,,,1.0,1.0
2026,5,2026-01-26,2026-02-01,南多摩,313.0,25.0,1132.0,1.0,2.0,11.0,87.0,2.0,,2.0,1.0,,,,,,,,,,,,,
2026,5,2026-01-26,2026-02-01,多摩立川,278.0,47.0,1095.0,7.0,,32.0,103.0,2.0,,,2.0,,,,,,,,,,,,3.0,1.0
2026,5,2026-01-26,2026-02-01,多摩府中,1068.0,44.0,2832.0,2.0,2.0,46.0,288.0,3.0,,2.0,2.0,,,4.0,,,1.0,,,1.0,,,8.0,5.0
2026,5,2026-01-26,2026-02-01,多摩小平,616.0,53.0,2399.0,4.0,9.0,39.0,313.0,3.0,,,7.0,,,,1.0,,,,1.0,1.0,,,4.0,7.0
2026,5,2026-01-26,2026-02-01,島しょ,2.0,3.0,33.0,,,,7.0,,,,,,,,,,,,,1.0,,,,4.0
